一枝黄花,满山草,百根草,蛇头王,黄花草
一点红,叶下红,红背叶,羊蹄草
牵牛子,二丑,喇叭花,牵牛,白丑,黑丑
独活,巴东独活,恩施独活,资丘独活
猕猴桃,山洋桃,猕猴梨,野梨,金梨
猪苓,地乌桃,豕零,野猪粪
猫爪草,打破碗花花,秋芍药,野棉花
玄参,乌元参,元参,浙玄参,黑参
玫瑰花,刺玫花,湖花
瓦松,向天草,瓦花,酸塔
甘草,密草,甜草根
甘遂,甘泽,肿手花根,苦泽
甜瓜子,香瓜子
白前,水杨柳,白马虎,草白前,鹅白前
白头翁,兴安白头翁,大将军草,毛姑杂花,老公花
白屈菜,假黄连,地黄连,山西瓜,断肠草,牛金花,雄黄草
白扁豆,峨眉豆,羊眼豆,肉豆,藤豆
白术,于术,于潜白术,冬术
白果,公孙树子,银杏核,鸭脚树子
白芍,川芍,杭芍,毫芍
白芥子,白芥
白芷,川白芷,香白芷
白英,毛秀才,毛葫芦,毛风藤,白毛藤
白薇,山烟根子,白马尾,老君须
白豆蔻,原豆蔻,圆豆蔻,扣米,豆蔻
白鲜皮,北鲜皮,山牡丹
百合,倒仙,倒垂莲,卷丹,山丹,强瞿,番韭,虎皮百合
百部,一窝虎,直立百部,药虱药,蔓生百部
皂角刺,天丁,皂荚刺,皂针
益智,益智仁,益智子
益母草,九塔花,山麻,红花艾,野麻
矮地茶,不出林,叶底珠,平地木,老勿大
石斛,大黄草,小环草,小黄草,扁草,扁金钗,扁黄草,旱马棒,束花石斛,水打棒,环草石斛,美花石斛,金兰,金钗石,金钗石斛,铁皮兰,铁皮石斛,马鞭杆,马鞭石斛,黑节草
石榴皮,安石榴,水晶榴,西榴
石见穿,月下红,石打穿,紫参
石韦,光板石韦,大石韦,小石韦,庐山石韦,石兰,石剑箸,石皮,肺心草,金背茶匙
砂仁,壳砂,春砂仁,海南壳砂仁,海南砂仁,绿壳砂仁,缩砂,缩砂蜜,蜜砂仁,阳春砂
秦皮,白荆树,青榔木,鸡糠树
秦艽,左秦艽,秦纠,秦胶
穿心莲,一见喜,斩蛇剑,榄核莲,苦草
竹茹,慈竹茹,水竹茹,荆竹茹,青竹茹
紫苏叶,苏叶,赤苏
紫草,大紫草,新疆紫草,硬紫草,红条紫草,软紫草
红花,刺红花,杜红花,草红,金红花
红豆蔻,山姜子,红扣
细辛,北细辛,华细辛,大药,烟袋锅花,白细辛,细参,马蹄香
络石藤,爬山虎,白花藤,红对叶肾
绞股蓝,七叶胆,小苦药公罗锅底
绿豆,植豆,菉豆,青小豆
罗布麻叶,泽漆麻,红根草,茶叶花,野茶叶
罗汉果,神仙果
羊蹄,土大黄,牛舌头,野大黄
肉桂,牡桂,玉桂,筒桂,菌桂,锡兰肉桂
肿节风,九节茶,九节风,接骨莲
胖大海,大洞果,大海,安南子
胡颓子,三月枣,斑楂,羊奶子,鸡卵子树
臭牡丹,八角梧桐,臭梧桐叶
艾叶,大艾叶,杜艾叶,萎蒿
芡实,刺莲,鸡头米,鸡头莲
芦荟,乌七,油葱,罗帏花,象鼻草
芫花,杜芫,老鼠花,野丁香花,黄阳花
芫荽,胡荽,香菜
苍术,东苍术,关苍术,和苍术
苍耳子,刺儿棵,疔疮草,粘粘葵,野茄子
苏木,红柴,苏方木
苦参,山槐根,干人参,苦骨,野槐根
苦木,土樗子,熊胆树,苦皮树,苦胆木
苦楝皮,川楝皮,森树,楝枣子,楝树果,紫花树,翠树,苦楝,苦楝树
茜草,四轮草,小活血,拉拉蔓,过山藤
茯苓,万灵桂,玉灵,茯灵,茯菟
茵陈,松毛艾,白蒿,绒蒿,绵茵陈,茵陈蒿
茶叶,茗
荆芥,假苏,四棱杆蒿,香荆芥
草豆蔻,偶子,草扣仁
荔枝核,丹荔,丽枝,荔支
荔枝草,癞蛤蟆草,皱皮草,雪见草,青蛙草
莱菔子,菜头子,萝卜子,萝白子
莲子,莲实,莲米,莲肉
菊花,杭菊,杯菊,毫菊,滁菊,贡菊
菟丝子,豆寄生,黄丝,黄藤子
葛根,甘葛,粉葛,葛条,葛藤
葶苈子,北葶苈子,甜葶苈子,辣辣菜
蒲公英,奶汁草,婆婆丁,黄花地丁
蒲黄,毛蜡烛,水蜡烛,蒲棒
蓖麻子,八麻子,牛蓖,红麻,草麻,蓖麻
蔓荆子,京子,白布荆,荆条子
薄荷,人丹草,蕃荷菜
薏苡仁,六谷,川谷,米仁,菩提子
藜芦,萱草根,黄花菜根
藿香,土霍香,大叶薄荷,排香草
蛇床子,野胡萝卜子
蛇莓,三匹风,三爪龙,蛇泡草,龙吐珠
补骨脂,故子,破故纸,黑胡纸
西河柳,三春柳,山川柳,西湖柳,赤柽柳
西洋参,洋参,花旗参
西瓜皮,西瓜翠
西红花,番红花,藏红花
覆盆子,牛奶母,种田泡,翁扭
诃子,诃黎勒
败酱,宏苦菜,败酱草
赤小豆,红豆,野赤豆
路路通,九空子,枫果
车前子,牛么草子,车轱辘草子
辛夷,望春花,木笔花,玉兰花
远志,小草,细叶远志
连翘,落翘,黄花条
通草,大通草,方草,通花
郁李仁,侧李子,小李仁,山梅子,欧李,赤李子,郁李,长梗郁李
酸枣仁,别大枣,刺枣,山枣,酸枣子
野菊花,山菊花,甘菊花,苦薏,野黄菊花
金樱子,刺梨,糖罐子,糖钵,野石榴
金钱草,大叶金钱草,对座草,过路黄
金银花,二宝花,双花,土忍冬,土银花,山金银花,山银花,忍冬,银花
钩藤,双钩藤,大钩丁
铁苋菜,叶里藏珠,海蚌念珠,血见愁
银柴胡,沙参儿,牛胆根
锁阳,地毛球,锁严子,锈铁棒
锦灯笼,挂金灯,灯笼果,红灯笼
闹羊花,三钱三,八厘麻,毛老虎,黄杜鹃
降香,紫降香,花梨母,降真香
雪莲花,新疆雪莲花
青葙子,大尾鸡冠花,狼尾花,野鸡冠花,青葙
青蒿,苦蒿,香蒿,黄蒿
青黛,蓝靛,靛,靛沫,靛花
首乌藤,夜交藤
香加皮,北五加皮,香五加
香橼,陈香圆
马兜铃,三角草秋木香罐,水马香果
马勃,灰包,马粪包
马蔺子,马蔺
马钱子,番木鳖,马钱
马鞭草,千屈菜,紫顶龙芽草,败毒草,野荆芥,铁马鞭
鬼箭羽,四方柴,四棱锋,神箭,鬼篦子
鬼针草,三叶鬼针草
鸡冠花,老来红,鸡髻花
鸡矢藤,牛皮冻,臭藤,鸡屎藤
鸦胆子,老鸦胆,雅旦子,鸭蛋子
鹤虱,挖耳草,烟斗菊,皱面草
麦冬,土麦冬,山麦冬,沿阶草,湖北麦冬,麦门冬
麻黄,山麻黄,川麻黄,木麻黄,田麻黄,草麻黄,龙沙
黄柏,关黄柏
黄芩,山茶根,烂心草,黄金茶
黄芪,绵黄芪
龙眼肉,亚荔枝,桂圆肉,龙眼
龙胆,四叶草,山龙胆草,水龙胆,胆草
龙葵,天沦草,天茄子,酸浆草,野茄
