K,stage,active_losses,seed,valid_map_avg,sym2herb_map,herb2sym_map,symptom_pred_ppl_em_prob,herb_pred_ppl_em_prob,topic_coherence
20,01_active_graph_h__graph_s__l1__pair,"graph_h,graph_s,l1,pair",44,0.23544859547036223,0.20792422842463312,0.26297296251609137,60.60869827457541,149.4315593430295,0.7641442865572261
20,01_active_graph_h__graph_s__l1__pair,"graph_h,graph_s,l1,pair",45,0.2463750306773395,0.22878249410495913,0.2639675672497199,57.62323267680259,144.8074762210785,0.7824994242546829
20,01_active_graph_h__graph_s__l1__pair,"graph_h,graph_s,l1,pair",46,0.23958361749750934,0.21320103920034492,0.2659661957946738,57.47533108044121,148.58273949880277,0.740619246354027
20,02_active_graph_h__graph_s__l1,"graph_h,graph_s,l1",42,0.24640082514702877,0.2246502899013438,0.2681513603927137,58.14631735681381,146.83601334070423,0.7378304036927426
20,02_active_graph_h__graph_s__l1,"graph_h,graph_s,l1",43,0.25018576089447975,0.23325609557335814,0.2671154262156013,57.48657132346607,143.34453204997513,0.7394996128856198
20,02_active_graph_h__graph_s__l1,"graph_h,graph_s,l1",44,0.25053949131802694,0.22920363659584342,0.27187534604021046,60.60194985832382,147.8950643825033,0.7552086267065147
20,02_active_graph_h__graph_s__l1,"graph_h,graph_s,l1",45,0.24229482840121114,0.22691013101528862,0.25767952578713366,57.74989546840243,145.24481973211041,0.7505152265730323
20,02_active_graph_h__graph_s__l1,"graph_h,graph_s,l1",46,0.2534693584992436,0.23223974776197578,0.2746989692365115,57.42574058693519,148.9097233610421,0.7458608996803975
20,03_active_graph_h__graph_s,"graph_h,graph_s",42,0.2494823145331252,0.23365174915720655,0.26531287990904384,57.95648283459111,146.6523477285277,0.7574126136942961
20,03_active_graph_h__graph_s,"graph_h,graph_s",43,0.2567418358575363,0.2356042608907529,0.2778794108243197,57.44161849645771,143.7493886008034,0.7070511273049553
20,03_active_graph_h__graph_s,"graph_h,graph_s",44,0.24671955554192065,0.2289541598092741,0.26448495127456717,60.36411475429246,148.13338578985181,0.774581153428777
20,03_active_graph_h__graph_s,"graph_h,graph_s",45,0.25611965718465024,0.23647928745858465,0.2757600269107158,57.84172978542904,145.9360751680886,0.7587628603409488
20,03_active_graph_h__graph_s,"graph_h,graph_s",46,0.2541638084156289,0.23138658748240248,0.27694102934885534,57.50021686010009,148.7386990622252,0.7228225679297158
20,04_active_graph_h,graph_h,42,0.24499359911079222,0.21686369658169838,0.2731235016398861,58.270561753010945,148.683983582247,0.6565464739917228
20,04_active_graph_h,graph_h,43,0.20917058613622347,0.1737910822682839,0.24455009000416303,58.614575677789155,151.7661582512757,0.6596770417556607
20,04_active_graph_h,graph_h,44,0.20090345774377155,0.16651978054013555,0.23528713494740758,62.189402535986495,156.31174850771458,0.6683592566982719
20,04_active_graph_h,graph_h,45,0.23854475960605354,0.20588765328664807,0.271201865925459,57.944171598062,147.7236719895645,0.7154177098469907
20,04_active_graph_h,graph_h,46,0.24157857736272345,0.20088777813511371,0.2822693765903332,58.81088919719618,151.97333974619593,0.7542305043843175
20,05_recon_only_ph_ps_nonneg,recon_only,42,0.2570396982472649,0.2404218402132778,0.273657556281252,62.14321085795892,150.88532631657088,0.6925626445367377
20,05_recon_only_ph_ps_nonneg,recon_only,43,0.25907540899287546,0.24009687141000355,0.2780539465757474,61.54006715031419,147.323451199171,0.683041750231306
20,05_recon_only_ph_ps_nonneg,recon_only,44,0.25088731879377624,0.23550132713935829,0.26627331044819413,64.2911969168717,151.07332111008668,0.7073412481540775
20,05_recon_only_ph_ps_nonneg,recon_only,45,0.2611897924911284,0.24641889594984862,0.2759606890324082,61.49228960289375,149.07086841370278,0.6840666256471096
20,05_recon_only_ph_ps_nonneg,recon_only,46,0.2569135716578936,0.2377418902883406,0.2760852530274465,60.938814177983396,152.45103480329553,0.6904359738426697
25,00_active_graph_h__graph_s__l1__pair__know_hs,"graph_h,graph_s,l1,pair,know_hs",42,0.251482307674596,0.23716487141967854,0.26579974392951344,55.95429746139342,145.3119680521498,0.6859828890173988
25,00_active_graph_h__graph_s__l1__pair__know_hs,"graph_h,graph_s,l1,pair,know_hs",43,0.24828436539553278,0.22343082880736154,0.273137901983704,55.69252836577429,143.71767321263636,0.6730457347283735
25,00_active_graph_h__graph_s__l1__pair__know_hs,"graph_h,graph_s,l1,pair,know_hs",44,0.2326540821361101,0.21844813779781372,0.24686002647440652,58.953825094062196,148.2278457752076,0.6648696502276803
25,00_active_graph_h__graph_s__l1__pair__know_hs,"graph_h,graph_s,l1,pair,know_hs",45,0.25292456651453527,0.24120872517798306,0.26464040785108744,55.749927870533874,143.6236096058445,0.6819072804288934
25,00_active_graph_h__graph_s__l1__pair__know_hs,"graph_h,graph_s,l1,pair,know_hs",46,0.25268951306479215,0.23495403176672236,0.270424994362862,54.955834858704236,146.7009380491818,0.6552122493376831
25,01_active_graph_h__graph_s__l1__pair,"graph_h,graph_s,l1,pair",42,0.25753256879827113,0.23706950128046544,0.27799563631607677,56.07914660120876,145.64635535426984,0.6710959878159554
25,01_active_graph_h__graph_s__l1__pair,"graph_h,graph_s,l1,pair",43,0.2526394082872954,0.23694070846070678,0.26833810811388403,55.85008500294302,142.28225456078573,0.6717095373593258
25,01_active_graph_h__graph_s__l1__pair,"graph_h,graph_s,l1,pair",44,0.24647242988083723,0.2305823212401201,0.2623625385215544,58.987353645520834,145.96890602627235,0.673813200388892
